Area fertilzed,,,,Commercial fertilizer,,,,Proportion area fertilized,,,Fertilizer Use ,,,,,,
Consolidated Subdivision,Division No.,Ag subdivision,Year,Number of farms reporting,Acres,Hectares,,Acres,Hectares,,Urea tonnes,,Urea tonnes/acre,,,Urea tonnes in division,
"Garry No. 245, Saskatchewan [CCS470109019]",9,19,2021,68,"84,403","34,157",,0.002543189,0.002543213,,1487000,,0.04,,,3376.12,
"Insinger No. 275, Saskatchewan [CCS470109023]",9,23,2021,69,"77,535","31,377",,0.002336246,0.002336224,,1487000,,0.04,,,3101.4,
"Good Lake No. 274, Saskatchewan [CCS470109029]",9,29,2021,67,"87,969","35,600",,0.002650638,0.002650654,,1487000,,0.04,,,3518.76,
"Sliding Hills No. 273, Saskatchewan [CCS470109033]",9,33,2021,54,"77,862","31,510",,0.002346099,0.002346127,,1487000,,0.04,,,3114.48,
"Cote No. 271, Saskatchewan [CCS470109037]",9,37,2021,51,"125,223","50,676",,0.003773157,0.003773161,,1487000,,0.04,,,5008.92,
"St. Philips No. 301, Saskatchewan [CCS470109042]",9,42,2021,49,"44,894","18,168",,0.001352724,0.001352727,,1487000,,0.04,,,1795.76,
"Keys No. 303, Saskatchewan [CCS470109046]",9,46,2021,51,"127,462","51,582",,0.003840622,0.003840619,,1487000,,0.04,,,5098.48,
"Buchanan No. 304, Saskatchewan [CCS470109049]",9,49,2021,78,"102,635","41,535",,0.003092547,0.003092554,,1487000,,0.04,,,4105.4,
"Invermay No. 305, Saskatchewan [CCS470109054]",9,54,2021,66,"97,281","39,368",,0.002931223,0.002931207,,1487000,,0.04,,,3891.24,
"Hazel Dell No. 335, Saskatchewan [CCS470109060]",9,60,2021,70,"58,758","23,779",,0.001770467,0.001770503,,1487000,,0.04,,,2350.32,
"Preeceville No. 334, Saskatchewan [CCS470109062]",9,62,2021,114,"85,602","34,642",,0.002579317,0.002579325,,1487000,,0.04,,,3424.08,
"Clayton No. 333, Saskatchewan [CCS470109067]",9,67,2021,129,"163,733","66,260",,0.004933522,0.004933493,,1487000,,0.04,,,6549.32,
"Livingston No. 331, Saskatchewan [CCS470109075]",9,75,2021,58,"69,529","28,137",,0.002095013,0.002094985,,1487000,,0.04,,,2781.16,
"Ituna Bon Accord No. 246, Saskatchewan [CCS470110003]",10,3,2021,79,"103,208","41,767",,0.003109812,0.003109828,,1487000,,0.04,,,4128.32,
