Area fertilzed,,,,Commercial fertilizer,,,,Proportion area fertilized,,,Fertilizer Use ,,,,,,
Consolidated Subdivision,Division No.,Ag subdivision,Year,Number of farms reporting,Acres,Hectares,,Acres,Hectares,,Urea tonnes,,Urea tonnes/acre,,,Urea tonnes in division,
"Deer Forks No. 232, Saskatchewan [CCS470308061]",8,61,2021,33,"74,775","30,260",,0.002253083,0.002253056,,1487000,,0.04,,,2991,
"Chesterfield No. 261, Saskatchewan [CCS470308065]",8,65,2021,94,"150,294","60,822",,0.004528584,0.004528598,,1487000,,0.04,,,6011.76,
"Newcombe No. 260, Saskatchewan [CCS470308071]",8,71,2021,49,"90,257","36,526",,0.002719579,0.002719601,,1487000,,0.04,,,3610.28,
"Snipe Lake No. 259, Saskatchewan [CCS470308074]",8,74,2021,146,"278,794","112,824",,0.008400483,0.008400489,,1487000,,0.04,,,11151.76,
"Monet No. 257, Saskatchewan [CCS470308092]",8,92,2021,111,"259,395","104,973",,0.007815962,0.00781593,,1487000,,0.04,,,10375.8,
"Last Mountain Valley No. 250, Saskatchewan [CCS470411003]",11,3,2021,54,"104,169","42,156",,0.003138769,0.003138791,,1487000,,0.04,,,4166.76,
"Big Arm No. 251, Saskatchewan [CCS470411006]",11,6,2021,70,"159,940","64,725",,0.004819233,0.004819202,,1487000,,0.04,,,6397.6,
"Arm River No. 252, Saskatchewan [CCS470411011]",11,11,2021,47,"91,306","36,950",,0.002751187,0.002751171,,1487000,,0.04,,,3652.24,
"Willner No. 253, Saskatchewan [CCS470411016]",11,16,2021,51,"123,514","49,984",,0.003721663,0.003721638,,1487000,,0.04,,,4940.56,
"Loreburn No. 254, Saskatchewan [CCS470411018]",11,18,2021,76,"170,593","69,037",,0.005140224,0.005140259,,1487000,,0.04,,,6823.72,
"Rudy No. 284, Saskatchewan [CCS470411026]",11,26,2021,98,"92,929","37,607",,0.002800091,0.002800088,,1487000,,0.04,,,3717.16,
"Rosedale No. 283, Saskatchewan [CCS470411031]",11,31,2021,64,"169,843","68,733",,0.005117625,0.005117624,,1487000,,0.04,,,6793.72,
"McCraney No. 282, Saskatchewan [CCS470411034]",11,34,2021,69,"137,016","55,448",,0.004128498,0.004128468,,1487000,,0.04,,,5480.64,
"Wood Creek No. 281, Saskatchewan [CCS470411039]",11,39,2021,64,"128,165","51,867",,0.003861804,0.003861839,,1487000,,0.04,,,5126.6,
"Wreford No. 280, Saskatchewan [CCS470411042]",11,42,2021,48,"56,568","22,892",,0.001704479,0.00170446,,1487000,,0.04,,,2262.72,
"Usborne No. 310, Saskatchewan [CCS470411046]",11,46,2021,61,"92,058","37,255",,0.002773846,0.00277388,,1487000,,0.04,,,3682.32,
"Morris No. 312, Saskatchewan [CCS470411052]",11,52,2021,75,"166,395","67,338",,0.005013732,0.005013757,,1487000,,0.04,,,6655.8,
"Lost River No. 313, Saskatchewan [CCS470411059]",11,59,2021,36,"88,908","35,980",,0.002678932,0.002678948,,1487000,,0.04,,,3556.32,
"Dundurn No. 314, Saskatchewan [CCS470411061]",11,61,2021,40,"47,569","19,250",,0.001433326,0.001433289,,1487000,,0.04,,,1902.76,
"Corman Park No. 344, Saskatchewan [CCS470411065]",11,65,2021,232,"222,351","89,982",,0.00669977,0.006699752,,1487000,,0.04,,,8894.04,
"Saskatoon, Saskatchewan [CCS470411066]",11,66,2021,57,"39,863","16,132",,0.001201132,0.001201133,,1487000,,0.04,,,1594.52,
"Blucher No. 343, Saskatchewan [CCS470411069]",11,69,2021,71,"106,721","43,188",,0.003215664,0.003215631,,1487000,,0.04,,,4268.84,
"Colonsay No. 342, Saskatchewan [CCS470411076]",11,76,2021,52,"73,288","29,659",,0.002208278,0.002208308,,1487000,,0.04,,,2931.52,
"Viscount No. 341, Saskatchewan [CCS470411091]",11,91,2021,75,"98,598","39,901",,0.002970906,0.002970892,,1487000,,0.04,,,3943.92,
"Wolverine No. 340, Saskatchewan [CCS470411096]",11,96,2021,73,"90,023","36,431",,0.002712528,0.002712528,,1487000,,0.04,,,3600.92,
"Pleasant Valley No. 288, Saskatchewan [CCS470412001]",12,1,2021,50,"117,291","47,466",,0.003534154,0.003534156,,1487000,,0.04,,,4691.64,
"St. Andrews No. 287, Saskatchewan [CCS470412004]",12,4,2021,103,"174,113","70,461",,0.005246287,0.005246285,,1487000,,0.04,,,6964.52,
"Milden No. 286, Saskatchewan [CCS470412011]",12,11,2021,54,"112,923","45,698",,0.00340254,0.003402517,,1487000,,0.04,,,4516.92,
"Fertile Valley No. 285, Saskatchewan [CCS470412020]",12,20,2021,88,"144,056","58,297",,0.004340624,0.004340595,,1487000,,0.04,,,5762.24,
"Montrose No. 315, Saskatchewan [CCS470412026]",12,26,2021,48,"68,742","27,819",,0.0020713,0.002071308,,1487000,,0.04,,,2749.68,
"Harris No. 316, Saskatchewan [CCS470412029]",12,29,2021,36,"65,931","26,681",,0.0019866,0.001986576,,1487000,,0.04,,,2637.24,
"Marriott No. 317, Saskatchewan [CCS470412034]",12,34,2021,69,"147,416","59,657",,0.004441866,0.004441856,,1487000,,0.04,,,5896.64,
"Mountain View No. 318, Saskatchewan [CCS470412038]",12,38,2021,63,"120,068","48,590",,0.003617829,0.003617845,,1487000,,0.04,,,4802.72,
"Biggar No. 347, Saskatchewan [CCS470412042]",12,42,2021,123,"257,457","104,189",,0.007757567,0.007757556,,1487000,,0.04,,,10298.28,
"Perdue No. 346, Saskatchewan [CCS470412050]",12,50,2021,36,"68,501","27,721",,0.002064038,0.002064011,,1487000,,0.04,,,2740.04,
"Vanscoy No. 345, Saskatchewan [CCS470412054]",12,54,2021,84,"143,449","58,052",,0.004322334,0.004322353,,1487000,,0.04,,,5737.96,
"Eagle Creek No. 376, Saskatchewan [CCS470412064]",12,64,2021,38,"71,799","29,056",,0.002163412,0.00216341,,1487000,,0.04,,,2871.96,
"Glenside No. 377, Saskatchewan [CCS470412069]",12,69,2021,38,"55,822","22,590",,0.001682001,0.001681974,,1487000,,0.04,,,2232.88,
"Rosemount No. 378, Saskatchewan [CCS470412072]",12,72,2021,35,"60,928","24,657",,0.001835852,0.001835876,,1487000,,0.04,,,2437.12,
"Battle River No. 438, Saskatchewan [CCS470412078]",12,78,2021,106,"146,962","59,473",,0.004428186,0.004428156,,1487000,,0.04,,,5878.48,
"Kindersley No. 290, Saskatchewan [CCS470413006]",13,6,2021,169,"466,513","188,791",,0.014056739,0.014056732,,1487000,,0.04,,,18660.52,
"Milton No. 292, Saskatchewan [CCS470413011]",13,11,2021,40,"88,023","35,622",,0.002652265,0.002652292,,1487000,,0.04,,,3520.92,
"Antelope Park No. 322, Saskatchewan [CCS470413016]",13,16,2021,17,"25,858","10,464",,0.00077914,0.000779114,,1487000,,0.04,,,1034.32,
"Prairiedale No. 321, Saskatchewan [CCS470413019]",13,19,2021,35,"103,298","41,803",,0.003112524,0.003112508,,1487000,,0.04,,,4131.92,
"Oakdale No. 320, Saskatchewan [CCS470413024]",13,24,2021,53,"98,451","39,842",,0.002966477,0.002966499,,1487000,,0.04,,,3938.04,
"Winslow No. 319, Saskatchewan [CCS470413028]",13,28,2021,93,"197,646","79,984",,0.005955371,0.005955335,,1487000,,0.04,,,7905.84,
"Grandview No. 349, Saskatchewan [CCS470413032]",13,32,2021,62,"117,430","47,522",,0.003538343,0.003538325,,1487000,,0.04,,,4697.2,
"Mariposa No. 350, Saskatchewan [CCS470413038]",13,38,2021,43,"69,006","27,926",,0.002079255,0.002079274,,1487000,,0.04,,,2760.24,
"Progress No. 351, Saskatchewan [CCS470413041]",13,41,2021,79,"161,474","65,346",,0.004865455,0.004865439,,1487000,,0.04,,,6458.96,
"Heart's Hill No. 352, Saskatchewan [CCS470413046]",13,46,2021,46,"102,703","41,562",,0.003094596,0.003094564,,1487000,,0.04,,,4108.12,
"Eye Hill No. 382, Saskatchewan [CCS470413049]",13,49,2021,90,"154,377","62,474",,0.004651611,0.0046516,,1487000,,0.04,,,6175.08,
"Grass Lake No. 381, Saskatchewan [CCS470413056]",13,56,2021,84,"124,278","50,294",,0.003744683,0.003744719,,1487000,,0.04,,,4971.12,
"Tramping Lake No. 380, Saskatchewan [CCS470413059]",13,59,2021,48,"76,992","31,158",,0.002319885,0.002319918,,1487000,,0.04,,,3079.68,
"Reford No. 379, Saskatchewan [CCS470413064]",13,64,2021,78,"109,384","44,266",,0.003295904,0.003295895,,1487000,,0.04,,,4375.36,
"Buffalo No. 409, Saskatchewan [CCS470413068]",13,68,2021,118,"213,083","86,232",,0.006420511,0.00642054,,1487000,,0.04,,,8523.32,
"Round Valley No. 410, Saskatchewan [CCS470413072]",13,72,2021,83,"125,571","50,817",,0.003783643,0.00378366,,1487000,,0.04,,,5022.84,
"Senlac No. 411, Saskatchewan [CCS470413076]",13,76,2021,43,"49,426","20,002",,0.00148928,0.00148928,,1487000,,0.04,,,1977.04,
"Manitou Lake No. 442, Saskatchewan [CCS470413079]",13,79,2021,69,"78,581","31,801",,0.002367764,0.002367794,,1487000,,0.04,,,3143.24,
"Hillsdale No. 440, Saskatchewan [CCS470413092]",13,92,2021,66,"83,830","33,925",,0.002525924,0.002525939,,1487000,,0.04,,,3353.2,
"Cut Knife No. 439, Saskatchewan [CCS470413096]",13,96,2021,57,"123,874","50,130",,0.00373251,0.003732508,,1487000,,0.04,,,4954.96,
"Hudson Bay No. 394, Saskatchewan [CCS470514001]",14,1,2021,63,"97,046","39,273",,0.002924142,0.002924133,,1487000,,0.04,,,3881.84,
"Porcupine No. 395, Saskatchewan [CCS470514006]",14,6,2021,117,"169,426","68,564",,0.00510506,0.005105041,,1487000,,0.04,,,6777.04,
"Kelvington No. 366, Saskatchewan [CCS470514021]",14,21,2021,76,"91,738","37,125",,0.002764204,0.0027642,,1487000,,0.04,,,3669.52,
"Ponass Lake No. 367, Saskatchewan [CCS470514023]",14,23,2021,79,"120,717","48,852",,0.003637385,0.003637353,,1487000,,0.04,,,4828.68,
"Spalding No. 368, Saskatchewan [CCS470514026]",14,26,2021,75,"128,555","52,024",,0.003873556,0.003873529,,1487000,,0.04,,,5142.2,
"Barrier Valley No. 397, Saskatchewan [CCS470514034]",14,34,2021,48,"93,939","38,016",,0.002830523,0.002830541,,1487000,,0.04,,,3757.56,
"Pleasantdale No. 398, Saskatchewan [CCS470514035]",14,35,2021,63,"71,737","29,031",,0.002161544,0.002161549,,1487000,,0.04,,,2869.48,
"Bjorkdale No. 426, Saskatchewan [CCS470514038]",14,38,2021,88,"85,887","34,757",,0.002587905,0.002587887,,1487000,,0.04,,,3435.48,
"Tisdale No. 427, Saskatchewan [CCS470514043]",14,43,2021,114,"156,262","63,237",,0.004708409,0.004708411,,1487000,,0.04,,,6250.48,
"Star City No. 428, Saskatchewan [CCS470514047]",14,47,2021,126,"173,808","70,338",,0.005237097,0.005237127,,1487000,,0.04,,,6952.32,
"Willow Creek No. 458, Saskatchewan [CCS470514053]",14,53,2021,78,"109,694","44,392",,0.003305245,0.003305276,,1487000,,0.04,,,4387.76,
"Connaught No. 457, Saskatchewan [CCS470514056]",14,56,2021,81,"164,974","66,763",,0.004970915,0.004970944,,1487000,,0.04,,,6598.96,
"Arborfield No. 456, Saskatchewan [CCS470514059]",14,59,2021,84,"98,634","39,916",,0.002971991,0.002972009,,1487000,,0.04,,,3945.36,
"Moose Range No. 486, Saskatchewan [CCS470514067]",14,67,2021,162,"213,069","86,226",,0.00642009,0.006420093,,1487000,,0.04,,,8522.76,
"Nipawin No. 487, Saskatchewan [CCS470514072]",14,72,2021,80,"109,097","44,150",,0.003287257,0.003287258,,1487000,,0.04,,,4363.88,
"Torch River No. 488, Saskatchewan [CCS470514077]",14,77,2021,151,"164,897","66,731",,0.004968595,0.004968562,,1487000,,0.04,,,6595.88,
"St. Peter No. 369, Saskatchewan [CCS470615001]",15,1,2021,111,"223,204","90,327",,0.006725472,0.006725439,,1487000,,0.04,,,8928.16,
"Humboldt No. 370, Saskatchewan [CCS470615007]",15,7,2021,112,"160,095","64,788",,0.004823903,0.004823893,,1487000,,0.04,,,6403.8,
"Bayne No. 371, Saskatchewan [CCS470615011]",15,11,2021,94,"148,823","60,227",,0.004484261,0.004484296,,1487000,,0.04,,,5952.92,
"Grant No. 372, Saskatchewan [CCS470615014]",15,14,2021,91,"122,299","49,493",,0.003685053,0.003685079,,1487000,,0.04,,,4891.96,
"Aberdeen No. 373, Saskatchewan [CCS470615018]",15,18,2021,57,"69,949","28,307",,0.002107669,0.002107642,,1487000,,0.04,,,2797.96,
"Laird No. 404, Saskatchewan [CCS470615026]",15,26,2021,89,"132,936","53,797",,0.004005562,0.00400554,,1487000,,0.04,,,5317.44,
"Rosthern No. 403, Saskatchewan [CCS470615031]",15,31,2021,130,"137,975","55,836",,0.004157394,0.004157357,,1487000,,0.04,,,5519,
"Fish Creek No. 402, Saskatchewan [CCS470615036]",15,36,2021,55,"51,172","20,709",,0.001541889,0.001541921,,1487000,,0.04,,,2046.88,
"Hoodoo No. 401, Saskatchewan [CCS470615039]",15,39,2021,98,"131,180","53,087",,0.003952651,0.003952676,,1487000,,0.04,,,5247.2,
"Three Lakes No. 400, Saskatchewan [CCS470615044]",15,44,2021,85,"103,051","41,703",,0.003105082,0.003105063,,1487000,,0.04,,,4122.04,
"Lake Lenore No. 399, Saskatchewan [CCS470615048]",15,48,2021,55,"65,037","26,320",,0.001959663,0.001959697,,1487000,,0.04,,,2601.48,
"Flett's Springs No. 429, Saskatchewan [CCS470615051]",15,51,2021,113,"159,151","64,406",,0.004795459,0.00479545,,1487000,,0.04,,,6366.04,
"Invergordon No. 430, Saskatchewan [CCS470615054]",15,54,2021,93,"117,448","47,530",,0.003538885,0.003538921,,1487000,,0.04,,,4697.92,
"St. Louis No. 431, Saskatchewan [CCS470615057]",15,57,2021,74,"123,558","50,002",,0.003722988,0.003722978,,1487000,,0.04,,,4942.32,
"Duck Lake No. 463, Saskatchewan [CCS470615061]",15,61,2021,46,"41,102","16,633",,0.001238465,0.001238436,,1487000,,0.04,,,1644.08,
"Prince Albert No. 461, Saskatchewan [CCS470615064]",15,64,2021,131,"145,770","58,991",,0.004392269,0.004392268,,1487000,,0.04,,,5830.8,
"Birch Hills No. 460, Saskatchewan [CCS470615067]",15,67,2021,68,"112,781","45,641",,0.003398261,0.003398273,,1487000,,0.04,,,4511.24,
"Kinistino No. 459, Saskatchewan [CCS470615071]",15,71,2021,74,"99,780","40,380",,0.003006522,0.003006557,,1487000,,0.04,,,3991.2,
"Garden River No. 490, Saskatchewan [CCS470615079]",15,79,2021,42,"59,238","23,973",,0.00178493,0.001784948,,1487000,,0.04,,,2369.52,
"Buckland No. 491, Saskatchewan [CCS470615094]",15,94,2021,54,"36,574","14,801",,0.00110203,0.001102032,,1487000,,0.04,,,1462.96,
"Paddockwood No. 520, Saskatchewan [CCS470615099]",15,99,2021,38,"55,195","22,337",,0.001663108,0.001663137,,1487000,,0.04,,,2207.8,
"Mayfield No. 406, Saskatchewan [CCS470616005]",16,5,2021,68,"117,316","47,476",,0.003534908,0.0035349,,1487000,,0.04,,,4692.64,
"Great Bend No. 405, Saskatchewan [CCS470616008]",16,8,2021,72,"97,032","39,267",,0.00292372,0.002923686,,1487000,,0.04,,,3881.28,
"Blaine Lake No. 434, Saskatchewan [CCS470616013]",16,13,2021,63,"93,446","37,816",,0.002815669,0.00281565,,1487000,,0.04,,,3737.84,
"Redberry No. 435, Saskatchewan [CCS470616018]",16,18,2021,94,"105,733","42,789",,0.003185894,0.003185922,,1487000,,0.04,,,4229.32,
"Douglas No. 436, Saskatchewan [CCS470616023]",16,23,2021,64,"64,509","26,106",,0.001943753,0.001943763,,1487000,,0.04,,,2580.36,
"North Battleford No. 437, Saskatchewan [CCS470616028]",16,28,2021,122,"162,202","65,641",,0.00488739,0.004887404,,1487000,,0.04,,,6488.08,
"Round Hill No. 467, Saskatchewan [CCS470616033]",16,33,2021,60,"52,897","21,407",,0.001593866,0.001593892,,1487000,,0.04,,,2115.88,
"Meeting Lake No. 466, Saskatchewan [CCS470616038]",16,38,2021,54,"61,063","24,711",,0.00183992,0.001839896,,1487000,,0.04,,,2442.52,
"Leask No. 464, Saskatchewan [CCS470616041]",16,41,2021,80,"150,380","60,857",,0.004531176,0.004531204,,1487000,,0.04,,,6015.2,
"Shellbrook No. 493, Saskatchewan [CCS470616046]",16,46,2021,87,"156,357","63,275",,0.004711272,0.00471124,,1487000,,0.04,,,6254.28,
"Canwood No. 494, Saskatchewan [CCS470616051]",16,51,2021,156,"140,916","57,027",,0.004246011,0.004246035,,1487000,,0.04,,,5636.64,
"Spiritwood No. 496, Saskatchewan [CCS470616056]",16,56,2021,158,"119,996","48,561",,0.00361566,0.003615686,,1487000,,0.04,,,4799.84,
"Medstead No. 497, Saskatchewan [CCS470616062]",16,62,2021,82,"71,790","29,052",,0.002163141,0.002163112,,1487000,,0.04,,,2871.6,
"Big River No. 555, Saskatchewan [CCS470616075]",16,75,2021,17,"7,344","2,972",,0.000221286,0.000221285,,1487000,,0.04,,,293.76,
"Meota No. 468, Saskatchewan [CCS470617001]",17,1,2021,69,"102,600","41,521",,0.003091492,0.003091512,,1487000,,0.04,,,4104,
"Turtle River No. 469, Saskatchewan [CCS470617008]",17,8,2021,65,"56,081","22,695",,0.001689805,0.001689792,,1487000,,0.04,,,2243.24,
"Paynton No. 470, Saskatchewan [CCS470617013]",17,13,2021,27,"39,810","16,111",,0.001199535,0.00119957,,1487000,,0.04,,,1592.4,
"Eldon No. 471, Saskatchewan [CCS470617017]",17,17,2021,82,"91,680","37,102",,0.002762456,0.002762488,,1487000,,0.04,,,3667.2,
"Wilton No. 472, Saskatchewan [CCS470617022]",17,22,2021,107,"138,608","56,093",,0.004176468,0.004176493,,1487000,,0.04,,,5544.32,
"Britannia No. 502, Saskatchewan [CCS470617028]",17,28,2021,108,"79,954","32,356",,0.002409134,0.002409117,,1487000,,0.04,,,3198.16,
"Frenchman Butte No. 501, Saskatchewan [CCS470617032]",17,32,2021,124,"141,859","57,408",,0.004274425,0.004274403,,1487000,,0.04,,,5674.36,
"Mervin No. 499, Saskatchewan [CCS470617045]",17,45,2021,130,"131,954","53,400",,0.003975973,0.003975981,,1487000,,0.04,,,5278.16,
"Parkdale No. 498, Saskatchewan [CCS470617047]",17,47,2021,84,"93,829","37,971",,0.002827209,0.002827191,,1487000,,0.04,,,3753.16,
"Meadow Lake No. 588, Saskatchewan [CCS470617054]",17,54,2021,147,"115,818","46,870",,0.003489771,0.00348978,,1487000,,0.04,,,4632.72,
"Loon Lake No. 561, Saskatchewan [CCS470617056]",17,56,2021,80,"74,359","30,092",,0.002240549,0.002240547,,1487000,,0.04,,,2974.36,
"Beaver River No. 622, Saskatchewan [CCS470617062]",17,62,2021,87,"53,797","21,771",,0.001620985,0.001620994,,1487000,,0.04,,,2151.88,
"Division No. 18, Unorganized, Saskatchewan [CCS470718090]",18,90,2021,6,"9,800","3,966",,0.000295289,0.000295295,,1487000,,0.04,,,392,
,,,,,,,,,,,,,,,,,
Saskatchewan,,,2021,21060,"33,187,855","13,430,647",,,,,,,,,,,
