Site_ID,Date,Latitude,Longitude,Depth_m,Secchi_m,Temp,DO_mg.L,Cond_uS,Sal_ppt,pH,NH4+_ug.L,NO2+NO3_ug.L,TDN_ug.L,SRP_ug.L,TDP_ug.L,N_P,DIC_mg.L,DOC_mg.L,ChlaTRI,Fuco,Diato,Allo,Chl_b ,Pheo_B,Lutein,Echine,Cantha,Aphan,Myxo,ChlaHPLC ,Pheo_A,B-car,MC_ug.L,Group
8C,2017-08-10,52.61549,-104.81382,2.2,0.05,24.7,0.24,1033,0.5,7.68,4280,2637.6,10920,400,630,17.33333333,62.791,40.638,118.8410348,0.645006703,3.045768202,3.777159308,14.15910067,148.5503212,35.19858687,0.85369501,2.246972923,0,1.591064131,36.73332601,35.64103711,4.180177471,0.02,2017_survey
8A,2017-08-10,52.5952,-104.80083,2,2,21.2,4.69,799,0.43,7.81,50,33.23,1560,60,90,17.33333333,46.996,24.11,5.787639667,0,0,0,0,0,0,0,0,0,0,0.143147527,0,0,0.02,2017_survey
8B,2017-08-10,52.60226,-104.8098,2.6,0.18,25.8,8.27,880,0.42,8.24,100,347.72,2420,10,20,121,61.594,20.886,73.68870652,0,0.047972308,0.200546491,0.554221683,0,0.37968412,0,0.102812783,0,0,2.293374734,0,0.015880792,0.02,2017_survey
69B,2017-08-15,49.33156,-109.10526,2.5,1.01,18.3,7.04,613,0.34,8.63,20,84.18,1540,20,70,22,36.974,13.813,6.30642525,0,0.032422485,0.047095646,0.076792612,0,0.120885033,0,0,0,0,0.936777763,0,0.006616997,0,2017_survey
69A,2017-08-15,49.32986,-109.04867,2.1,0.51,17.5,8.34,510,0.29,8.71,170,43.79,3240,40,200,16.2,44.868,19.268,96.841724,0.044287293,0.024316863,2.191749419,0.552454814,0.115432352,1.272408219,4.233677939,0.985260765,0.681006815,0,43.89914982,1.001035832,2.396696934,0.02,2017_survey
69C,2017-08-15,49.29757,-109.10841,2,0.56,17.5,7.06,382.5,0.22,9.19,110,17.8,1010,400,20,50.5,29.172,21.217,38.82010427,0,0.006225117,1.234020457,0.134257957,0.041932418,0.921886554,0,0,0.203731115,0.685148685,8.947823032,1.575122552,0.166621274,5.882636202,2017_survey
26C,2017-08-14,49.25726,-108.40901,1.4,0.29,20.5,10.45,576,0.3,8.71,70,154.71,2820,1440,1600,1.7625,35.708,30.104,140.4786237,0.523150498,0.043646559,0.812052085,6.628088104,3.04942891,10.64181631,0,0.585400666,0,1.537184115,25.65847145,1.206808752,1.574003085,0.02,2017_survey
26B,2017-08-14,49.26081,-108.40865,1.8,1.07,19.9,6.6,713,0.39,8.77,260,43.76,3000,670,850,3.529411765,46.632,35.305,35.09807233,0.016661395,0.035572097,0.194488359,0.397768423,0.595704226,1.395139064,0.118393725,0.102548728,0.111914107,0,3.131017527,0.458122758,0.243253408,0.02,2017_survey
26A,2017-08-14,49.26151,-108.409,2.3,0.29,19.1,10.98,747,0.41,9.72,290,60.63,3590,540,740,4.851351351,42.12,41.81,166.1085818,0,0.671878923,0.238577799,2.063821834,0.121109353,2.474589692,4.827961982,8.64008283,8.932526296,5.933546337,162.4226647,2.384174003,16.05352858,0.02,2017_survey
24A,2017-08-14,49.9192,-109.84868,1.74,0.2,19.5,9.93,872,0.43,9.8,110,20.24,1920,310,440,4.363636364,32.487,22.535,52.93139534,0.213278857,0.04258153,1.0144634,1.583333991,0,3.006848001,1.366858157,0.068582257,0,0.438055668,10.88733563,0,0.43363386,0.02,2017_survey
24B,2017-08-14,49.91797,-109.85177,2.3,0.18,18.8,4.19,217.1,0.12,8.91,0,0,0,0,0,0,0,0,98.89724908,0.041307553,0.268345941,10.78487257,1.248629744,0.423015173,1.756347758,0,0.041410413,0.061646735,0,31.29359862,0.585708136,0.273409219,0.02,2017_survey
70A,2017-08-15,50.35456,-108.87658,3.2,1.43,18.9,6.5,4386,2.68,8.57,140,13.29,1730,10,510,3.392156863,41.322,43.581,13.72294267,0.171133332,0.031276449,0.018634345,0,0,0.377837265,0.032186407,0,0,0,1.858478465,0,0.138025152,0.02,2017_survey
70C,2017-08-15,50.39632,-109.11725,3.5,2.42,15.7,7.68,647,0.32,8.06,40,44.87,417.54,20,8.66,48.2147806,65.716,4.59,6.121801975,0.220468052,0.015562793,0.091979673,0,0,0.099773386,0.008258704,0,0,0,0.47255815,0,0.031761585,0.02,2017_survey
70B,2017-08-15,50.39857,-109.08987,2.5,0.78,18.3,5.12,1258,0.73,8.83,100,170.8,2090,10,20,104.5,106.363,24.442,2.47972066,0,0.157499866,0.077086264,0,0,0.073626979,0,0,0,0,0.424793419,0,0,0.02,2017_survey
65A,2017-08-11,52.55179,-103.89583,4.3,2.02,21.8,9.01,242.8,0.12,8.22,10,336.84,1280,30,20,64,31.612,13.981,8.3617439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017_survey
8E,2017-08-11,52.6333,-104.6604,1.3,1.12,19.3,8.55,3244,0.25,8.39,280,748.68,5240,80,280,18.71428571,0,0,8.9610816,0,0.109349095,0,0.728374005,0,0.491392706,0,0.094789281,0,0.455057918,4.287488442,0,0.031343669,0.02,2017_survey
8F,2017-08-11,52.627937,-104.715069,0.5,0,18.4,3.77,792,0.45,8.73,30,89.22,1890,20,40,47.25,50.09,45.621,2483.611981,44.69022098,43.2641057,10.27325106,323.0098023,51.82668156,150.0112148,0,24.40184168,0,89.89327137,749.3280916,120.875758,90.3778232,0.02,2017_survey
36A,2017-08-10,52.5244,-105.21877,1.4,0.13,24.4,28.39,2056,1.06,9.21,160,83.7,3720,30,100,37.2,59.455,50.687,150.7441308,1.428530937,2.90125038,8.42372494,18.26562337,4.912226301,3.235446364,5.537209175,22.76425921,23.38972731,4.333025292,219.2156718,17.92171463,22.2421085,0.02,2017_survey
63B,2017-08-10,52.6918,-106.02972,1.6,0.43,22.9,9.65,521,0.26,9.51,190,375.36,3520,50,110,32,60.98,34.355,181.5894093,0,0.059856895,0.152793131,1.770872885,0,0.997076548,0.046901755,0.150957108,0,0,6.081712195,0,0,0.02,2017_survey
63A,2017-08-10,51.14324,-105.65466,1,1.1,21,2.51,1756,0.96,8.03,260,524.57,4210,690,930,4.52688172,100.848,55.898,11.11487962,0,2.435308718,0.218029724,0.315684417,0,1.004917856,0,0,0,0,1.193326518,0,0,0.02,2017_survey
64A,2017-08-17,50.77282,-107.94051,2.5,0.29,17.8,12.34,464.1,0.26,9.45,90,3.9,2100,50,90,23.33333333,31.723,26.773,87.96870488,0.036020332,0.005894997,2.716593908,2.018223724,0.913104883,8.312845856,1.084199094,0.907762252,1.223063917,1.571141515,29.56320632,0.454927434,4.356059253,0.320164087,2017_survey
64C,2017-08-17,50.79424,-107.93136,3.3,0.2,18.9,8.75,722,0.4,8.86,40,45.02,2310,290,390,5.923076923,53.982,33.117,32.72007003,0.1052793,0.247538188,1.347994199,1.824058073,1.426672834,3.174869517,0,0.16763875,0,0,10.08013914,0.306257149,0.330656422,0.02,2017_survey
64B,2017-08-17,50.79427,-107.9444,2.9,0.95,19.3,7.6,365.7,0.2,9.37,160,50.17,1970,20,40,49.25,21.327,21.383,24.96877439,0,0,0.657427215,0,0,0.464104198,0.023172472,0,0,0.518751982,2.800025502,0,0.07547888,0.02,2017_survey
31A,2017-08-17,51.14608,-107.5329,1.9,0.09,20.7,14.74,13489,8.57,8.41,140,0.5,7120,60,200,35.6,136.342,89.99,115.2106036,3.307481558,0.279173538,2.87950779,6.024554849,2.842981503,21.03197785,0.648007442,0.711593037,0,1.866953163,28.60777631,0.53104015,2.214654605,0.02,2017_survey
